Forecast timestamp;Position;Forecast base;2 metre temperature;Minimum temperature at 2 metres;Maximum temperature at 2 metres;Relative humidity;Total water precipitation;Wind speed;Downward short-wave radiation flux;Surface latent heat flux;Surface sensible heat flux;Surface net solar radiation;Surface net thermal radiation;Commune;code_commune
2021-04-12T13:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;11,017725;10,303857;11,019678;58,89077;9,025391;5,349381;19205968;-6272000;-6645776;16467752;-3658279;Gardanne;13041
2021-04-12T13:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;11,593896;10,725732;11,597803;57,57827;9,708984;6,427506;19084112;-6119936;-6013456;16430888;-4536103;Gardanne;13041
2021-04-12T13:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;11,577295;10,913232;11,582178;57,82827;8,710938;5,865006;19270480;-7183360;-5095440;15768360;-3870247;Gardanne;13041
2021-04-12T13:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;10,630029;10,038232;10,629053;62,51577;9,363281;6,450943;18533200;-7616000;-4372496;15253288;-3677223;Gardanne;13041
2021-04-12T12:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;10,071924;8,843896;10,068994;66,866135;10,404297;5,375114;17458818;-7096848;-4300096;14721168;-3486496;Gardanne;13041
2021-04-12T12:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;10,321924;9,297021;10,318994;62,241135;9,027344;5,242301;16197250;-5609488;-5133632;13890192;-3239456;Gardanne;13041
2021-04-12T12:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;10,79751;9,593896;10,803369;63,178635;9,708984;6,062614;16067202;-5499920;-4729664;13830288;-4010272;Gardanne;13041
2021-04-12T12:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;10,903955;9,515771;10,897119;61,178635;8,710938;5,843864;16253058;-6374416;-3880768;13300368;-3404576;Gardanne;13041
2021-04-12T12:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;10,015283;8,875146;10,006494;65,834885;9,365234;6,211051;15514754;-6704144;-3214656;12769424;-3230752;Gardanne;13041
2021-04-12T11:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;8,827295;7,442773;8,826563;74,483444;10,404297;4,04337;14793091;-6240432;-3391344;12473168;-3083128;Gardanne;13041
2021-04-12T11:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;9,248193;7,880273;9,248438;68,139694;9,025391;4,363682;13541763;-5049520;-3856752;11616080;-2835832;Gardanne;13041
2021-04-12T11:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;9,593896;8,083398;9,592188;70,702194;9,710938;4,402745;13406595;-4802736;-3757936;11538768;-3532664;Gardanne;13041
2021-04-12T11:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;9,522607;7,911523;9,514063;69,889694;8,710938;4,715245;13591427;-5677744;-2909040;11124560;-2966136;Gardanne;13041
2021-04-12T10:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;7,409082;6,146387;7,413232;83,629242;10,404297;3,633708;12676550;-5621664;-2733577;10689323;-2720171;Gardanne;13041
2021-04-12T11:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;8,972803;7,552148;8,967188;71,920944;9,363281;4,848057;12850563;-5921968;-2256240;10577744;-2803576;Gardanne;13041
2021-04-12T10:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;7,783105;6,380762;7,788232;78,316742;9,025391;4,118083;11413958;-4564896;-2983433;9794347;-2465195;Gardanne;13041
2021-04-12T10:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;8,098535;6,747949;8,100732;80,535492;9,710938;4,024333;11279302;-4203424;-3125769;9708843;-3112875;Gardanne;13041
2021-04-12T09:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;6,120752;5,997461;6,337549;90,594589;10,404297;3,441342;11256408;-5201872;-2355224;9494073;-2412944;Gardanne;13041
2021-04-12T10:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;7,905176;6,466699;7,913232;81,722992;8,710938;4,375896;11459014;-4918176;-2371593;9381675;-2581419;Gardanne;13041
2021-04-12T08:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;6,213525;5,963525;6,210596;93,826401;10,404297;2,574115;10730949;-4984048;-2230341;9049789;-2231379;Gardanne;13041
2021-04-12T07:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;6,188867;6,178613;6,562891;97,764877;10,404297;2,776225;10656766;-4850704;-2215046;8987021;-2196834;Gardanne;13041
2021-04-11T21:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;12,332666;12,338525;12,760889;85,046219;0,000977;2,408846;10656617;-4092063;-2359442;8986888;-1869108;Gardanne;13041
2021-04-12T04:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;8,306543;8,315332;10,311426;97,752533;6,714844;3,706395;10656617;-4522272;-2144541;8986888;-2090525;Gardanne;13041
2021-04-11T22:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;12,121973;12,118311;12,318994;82,354385;0,001953;2,125221;10656617;-4130320;-2298749;8986888;-1913395;Gardanne;13041
2021-04-11T23:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;11,505029;11,505029;12,285791;87,333817;0,000977;1,870056;10656617;-4165280;-2256830;8986888;-1950949;Gardanne;13041
2021-04-12T01:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;11,221826;11,141748;11,360742;89,575943;0,009766;2,943193;10656617;-4235312;-2161757;8986888;-2030723;Gardanne;13041
2021-04-12T03:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;10,281396;10,278467;10,819727;98,261475;5,056641;1,743956;10656617;-4337552;-2111226;8986888;-2072518;Gardanne;13041
2021-04-12T05:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;7,071191;7,080225;8,298975;98,266388;9,158203;3,093287;10656617;-4666032;-2172922;8986888;-2111280;Gardanne;13041
2021-04-12T00:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;11,421045;11,3771;11,603906;89,196976;0,000977;2,18341;10656617;-4196240;-2209896;8986888;-1992518;Gardanne;13041
2021-04-12T06:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;6,568262;6,570703;7,075586;98,404678;10,302734;2,257694;10656617;-4769680;-2199939;8986888;-2146524;Gardanne;13041
2021-04-12T02:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;10,960352;10,933252;11,035791;95,223083;1,128906;1,900564;10656617;-4293904;-2127920;8986888;-2055241;Gardanne;13041
2021-04-11T20:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;12,81167;12,803857;13,986719;80,601181;0,000977;3,027612;10653033;-4033812;-2446095;8984328;-1800095;Gardanne;13041
2021-04-12T10:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;7,58291;6,294824;7,585107;81,597992;9,363281;4,579021;10717638;-5193120;-1676809;8824107;-2420907;Gardanne;13041
2021-04-11T19:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;13,879785;13,884912;14,718652;76,865723;0,000977;3,044566;10422007;-3842998;-2497514;8788975;-1611366;Gardanne;13041
2021-04-12T09:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;6,349756;5,966211;6,345361;86,563339;9,027344;3,871029;9936472;-4120528;-2544152;8531001;-2133392;Gardanne;13041
2021-04-12T09:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;6,770166;6,497461;6,767236;87,344589;9,710938;3,636654;9818200;-3730384;-2792472;8454713;-2755984;Gardanne;13041
2021-04-11T18:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;14,789941;14,660059;15,214502;72,173309;0,000977;2,515822;10018277;-3599346;-2490427;8447114;-1498466;Gardanne;13041
2021-04-11T17:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;15,182275;14,595361;15,181787;72,594376;0,000977;2,465213;9706605;-3343804;-2442684;8183614;-1412114;Gardanne;13041
2021-04-12T09:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;6,48208;6,278711;6,525049;88,750839;8,710938;4,363217;9978456;-4315600;-2115096;8173114;-2243472;Gardanne;13041
2021-04-12T08:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;6,130518;6,1354;6,288721;92,107651;9,027344;3,113177;9327557;-3852528;-2448453;8008893;-1913171;Gardanne;13041
2021-04-12T08:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;6,693506;6,54165;6,773096;90,263901;9,708984;3,08974;9252293;-3511024;-2680901;7967421;-2542419;Gardanne;13041
